"ID","Category / Section","Priority","Action Item","Implementation Details","Impact","Effort","Recommended Tool(s)","Status (Edit Me)","Notes / Owner (Edit Me)"
"19","A. Technical Foundations","P3-Medium","Review and minimize redirect use in main navigation","Point nav/menu links directly to final destination URLs, not redirected ones.","Low","Low","Screaming Frog","Not Started",""
"20","A. Technical Foundations","P4-Low","Set up a staging/robots noindex protocol","Ensure staging and dev environments use noindex + password protection so they never get indexed.","Medium","Low","robots meta tag, .htaccess","Not Started",""
"21","B. Crawling & Indexation","P1-Critical","Audit indexed vs submitted pages","Compare GSC 'Pages' report indexed count vs sitemap submitted count and investigate gaps.","High","Low","Google Search Console","Not Started",""
"22","B. Crawling & Indexation","P1-Critical","Fix 'Crawled - currently not indexed' pages","Diagnose thin content, duplication, or quality issues causing Google to skip indexing.","High","Medium","Google Search Console","Not Started",""
"23","B. Crawling & Indexation","P1-Critical","Remove noindex tags from pages that should rank","Audit for accidental noindex tags left over from development or CMS defaults.","High","Low","Screaming Frog custom extraction","Not Started",""
"24","B. Crawling & Indexation","P1-Critical","Check for JavaScript rendering issues","Confirm Googlebot can render and see the same content a user sees (client-side rendered content).","High","High","Google Rich Results Test, Mobile-Friendly Test","Not Started",""
"25","B. Crawling & Indexation","P2-High","Consolidate thin/duplicate pages","Merge or 301 redirect near-duplicate pages targeting the same keyword intent.","High","Medium","Screaming Frog, Ahrefs Content Gap","Not Started",""
"26","B. Crawling & Indexation","P2-High","Audit internal linking depth","Ensure priority pages are reachable within 3 clicks from the homepage.","Medium","Medium","Screaming Frog Crawl Depth Report","Not Started",""
"27","B. Crawling & Indexation","P2-High","Set up log file analysis","Analyze server logs to see what Googlebot actually crawls vs. what you want crawled.","Medium","High","Screaming Frog Log File Analyzer","Not Started",""
"28","B. Crawling & Indexation","P2-High","Review category/tag archive indexing (CMS sites)","Decide which taxonomy pages add value and noindex the rest to avoid thin content bloat.","Medium","Low","CMS SEO Plugin (Yoast/RankMath)","Not Started",""
"29","B. Crawling & Indexation","P3-Medium","Check canonical vs indexed URL mismatches","Use URL Inspection tool to confirm Google is indexing the canonical URL you intended.","Medium","Low","Google Search Console URL Inspection","Not Started",""
"30","B. Crawling & Indexation","P3-Medium","Audit for index bloat from search/filter URLs","Block internal site search result pages and filter combinations from indexing.","Medium","Medium","robots.txt, noindex tag","Not Started",""
"31","B. Crawling & Indexation","P3-Medium","Request indexing for new priority pages","Manually submit new cornerstone content via URL Inspection for faster indexing.","Low","Low","Google Search Console","Not Started",""
"32","B. Crawling & Indexation","P3-Medium","Review last crawl date on key pages","Check if important pages are being crawled frequently enough relative to update frequency.","Low","Low","Google Search Console","Not Started",""
"33","B. Crawling & Indexation","P4-Low","Set up a change-frequency strategy in sitemap","Use lastmod dates accurately in XML sitemap to hint freshness to crawlers.","Low","Low","XML Sitemap Generator","Not Started",""
"34","B. Crawling & Indexation","P4-Low","Audit international ccTLD/subfolder crawl coverage","Confirm each locale variant is being crawled and indexed independently.","Medium","Medium","Google Search Console (per property)","Not Started",""
"35","B. Crawling & Indexation","P4-Low","Clean up legacy redirects (500+ rules)","Audit .htaccess/redirect map for old chains no longer needed and simplify.","Low","Medium","Screaming Frog, Server Config","Not Started",""
"36","C. Site Speed & Core Web Vitals","P1-Critical","Measure and fix Largest Contentful Paint (LCP)","Target under 2.5s; optimize hero image, server response time, and remove render-blocking resources.","High","Medium","PageSpeed Insights, GSC Core Web Vitals","Not Started",""
"37","C. Site Speed & Core Web Vitals","P1-Critical","Measure and fix Interaction to Next Paint (INP)","Target under 200ms; reduce heavy JavaScript execution and long main-thread tasks.","High","High","PageSpeed Insights, Chrome DevTools","Not Started",""
"38","C. Site Speed & Core Web Vitals","P1-Critical","Measure and fix Cumulative Layout Shift (CLS)","Target under 0.1; set explicit width/height on images and reserve space for ads/embeds.","High","Medium","PageSpeed Insights","Not Started",""
"39","C. Site Speed & Core Web Vitals","P2-High","Compress and serve next-gen image formats","Convert images to WebP/AVIF and compress without visible quality loss.","High","Low","Squoosh, ImageOptim, CDN Image Service","Not Started",""
"40","C. Site Speed & Core Web Vitals","P2-High","Implement lazy loading for below-fold images","Add loading=lazy to offscreen images/iframes to speed up initial page load.","Medium","Low","HTML loading attribute","Not Started",""
"41","C. Site Speed & Core Web Vitals","P2-High","Minify CSS, JS, and HTML","Remove whitespace/comments and combine files where possible to cut payload size.","Medium","Low","Build tools, CDN minification","Not Started",""
"42","C. Site Speed & Core Web Vitals","P2-High","Enable browser caching and CDN","Set long cache-control headers for static assets and serve via a CDN for global speed.","High","Medium","Cloudflare, CDN Provider","Not Started",""
"43","C. Site Speed & Core Web Vitals","P2-High","Audit and reduce third-party scripts","Remove unused tracking pixels/widgets that add load time without clear ROI.","Medium","Medium","GTmetrix Waterfall, Chrome DevTools","Not Started",""
"44","C. Site Speed & Core Web Vitals","P3-Medium","Implement server-side caching","Use full-page or object caching to reduce Time to First Byte (TTFB).","Medium","Medium","Server/CMS Caching Plugin","Not Started",""
"45","C. Site Speed & Core Web Vitals","P3-Medium","Preload key requests (fonts, hero image)","Add <link rel=preload> for critical above-the-fold assets to speed rendering.","Medium","Low","HTML head tags","Not Started",""
"46","C. Site Speed & Core Web Vitals","P3-Medium","Audit web font loading strategy","Use font-display: swap and limit font weights/files loaded to reduce blocking.","Low","Low","CSS @font-face rules","Not Started",""
"47","C. Site Speed & Core Web Vitals","P3-Medium","Test mobile page speed separately from desktop","Mobile networks/CPUs are slower; test and optimize using mobile-specific throttling.","High","Medium","PageSpeed Insights (Mobile)","Not Started",""
"48","C. Site Speed & Core Web Vitals","P4-Low","Set up performance monitoring dashboard","Track Core Web Vitals trends over time instead of one-off checks.","Medium","Medium","Google Search Console, Looker Studio","Not Started",""
"49","C. Site Speed & Core Web Vitals","P4-Low","Reduce DOM size on large templates","Audit pages with 1,500+ DOM elements and simplify nested markup.","Low","Medium","Chrome DevTools Lighthouse","Not Started",""
"50","C. Site Speed & Core Web Vitals","P4-Low","Audit HTTP/2 or HTTP/3 support","Confirm the server supports modern protocols for faster parallel asset loading.","Medium","Low","Server/Host Configuration","Not Started",""
"51","D. On-Page SEO","P1-Critical","Audit title tags for uniqueness and keyword targeting","Every page should have a unique, under-60-character title with primary keyword near the front.","High","Medium","Screaming Frog, Ahrefs","Not Started",""
"52","D. On-Page SEO","P1-Critical","Audit meta descriptions for CTR optimization","Write unique, compelling descriptions under 155 characters with a clear value proposition.","Medium","Medium","Screaming Frog","Not Started",""
"53","D. On-Page SEO","P1-Critical","Fix missing or multiple H1 tags","Each page should have exactly one H1 that reflects the primary topic/keyword.","High","Low","Screaming Frog Custom Extraction","Not Started",""
"54","D. On-Page SEO","P2-High","Audit heading hierarchy (H1-H6 structure)","Ensure headings follow logical nested order for readability and topical clarity.","Medium","Low","Manual/Screaming Frog","Not Started",""
"55","D. On-Page SEO","P2-High","Add descriptive alt text to all images","Alt text should describe the image and include target keywords where natural, for accessibility and image SEO.","Medium","Medium","Screaming Frog, CMS Media Library","Not Started",""
"56","D. On-Page SEO","P2-High","Optimize URL structure for readability","URLs should be short, lowercase, hyphenated, and include the target keyword.","Medium","Medium","CMS Permalink Settings","Not Started",""
"57","D. On-Page SEO","P2-High","Improve internal linking with keyword-rich anchor text","Link related pages together using descriptive, varied anchor text (avoid 'click here').","High","Medium","Screaming Frog, Manual Audit","Not Started",""
"58","D. On-Page SEO","P2-High","Audit content for keyword cannibalization","Find multiple pages competing for the same query and consolidate or differentiate intent.","High","Medium","Ahrefs, Google Search Console Query Data","Not Started",""
"59","D. On-Page SEO","P3-Medium","Add table of contents / jump links on long content","Improve UX and increase chance of sitelinks/featured snippets on long-form pages.","Low","Low","CMS Plugin or Manual HTML","Not Started",""
"60","D. On-Page SEO","P3-Medium","Optimize for featured snippets on target queries","Format direct answers, lists, or tables near the top of content matching snippet triggers.","Medium","Medium","Ahrefs SERP Features, Manual SERP Review","Not Started",""
"61","D. On-Page SEO","P3-Medium","Audit thin content pages (under 300 words)","Expand, merge, or remove low-value thin pages that provide little search value.","Medium","Medium","Screaming Frog Word Count","Not Started",""
"62","D. On-Page SEO","P3-Medium","Add breadcrumb navigation site-wide","Improves UX and enables breadcrumb rich results in the SERP.","Medium","Low","CMS Theme, BreadcrumbList Schema","Not Started",""
"63","D. On-Page SEO","P3-Medium","Review and update outdated content ('content decay')","Refresh statistics, dates, and examples on pages that have dropped in rankings/traffic.","Medium","Medium","GA4, Google Search Console","Not Started",""
"64","D. On-Page SEO","P4-Low","Audit open graph and twitter card tags","Ensure social share previews display correct title, description, and image.","Low","Low","Meta Tags Inspector","Not Started",""
"65","D. On-Page SEO","P4-Low","Optimize for E-E-A-T signals","Add author bios, credentials, citations, and last-updated dates to build trust signals.","Medium","Medium","Manual Content Review","Not Started",""
"66","E. Schema Markup Builder","P1-Critical","Add Organization schema to homepage","Define name, logo, URL, sameAs (social profiles), and contact info in JSON-LD.","High","Low","Google Rich Results Test, Schema.org","Not Started",""
"67","E. Schema Markup Builder","P1-Critical","Add WebSite schema with Sitelinks Search Box","Enable the SearchAction property so Google can show a search box under your listing.","Medium","Low","Schema.org WebSite + SearchAction","Not Started",""
"68","E. Schema Markup Builder","P1-Critical","Add BreadcrumbList schema to all pages","Mark up breadcrumb trail so Google can display breadcrumb rich results in the SERP.","Medium","Low","Schema.org BreadcrumbList","Not Started",""
"69","E. Schema Markup Builder","P1-Critical","Add Product schema on product pages","Include name, image, price, availability, brand, and SKU for rich e-commerce results.","High","Medium","Schema.org Product, Merchant Center","Not Started",""
"70","E. Schema Markup Builder","P1-Critical","Add Review/AggregateRating schema","Mark up genuine customer reviews to enable star ratings in search results.","High","Medium","Schema.org Review/AggregateRating","Not Started",""
"71","E. Schema Markup Builder","P2-High","Add Article/BlogPosting schema on blog content","Include headline, author, datePublished, dateModified, and image for news/blog eligibility.","Medium","Medium","Schema.org Article","Not Started",""
"72","E. Schema Markup Builder","P2-High","Add FAQPage schema on FAQ content","Mark up genuine Q&A content to be eligible for expandable FAQ rich results.","Medium","Low","Schema.org FAQPage","Not Started",""
"73","E. Schema Markup Builder","P2-High","Add LocalBusiness schema (physical/local businesses)","Include NAP (name, address, phone), hours, geo-coordinates, and price range.","High","Low","Schema.org LocalBusiness","Not Started",""
"74","E. Schema Markup Builder","P2-High","Add Event schema for events/webinars pages","Mark up event name, start/end date, location, and offers for Event rich results.","Medium","Low","Schema.org Event","Not Started",""
"75","E. Schema Markup Builder","P2-High","Add HowTo schema on tutorial/guide content","Mark up ordered steps, tools, and time required for how-to rich results.","Medium","Medium","Schema.org HowTo","Not Started",""
"76","E. Schema Markup Builder","P3-Medium","Add VideoObject schema on video content","Include thumbnail, upload date, and duration so videos can appear in video search results.","Medium","Medium","Schema.org VideoObject","Not Started",""
"77","E. Schema Markup Builder","P3-Medium","Add JobPosting schema on careers pages","Include title, description, hiring org, and location for Google for Jobs eligibility.","Medium","Low","Schema.org JobPosting","Not Started",""
"78","E. Schema Markup Builder","P3-Medium","Add SoftwareApplication schema on app/tool pages","Include name, category, OS, rating, and price for app-related rich results.","Low","Low","Schema.org SoftwareApplication","Not Started",""
"79","E. Schema Markup Builder","P4-Low","Add Person schema for author/team pages","Link authors to their bio, credentials, and social profiles for E-E-A-T signals.","Low","Low","Schema.org Person","Not Started",""
"80","E. Schema Markup Builder","P4-Low","Set up automated schema QA in CI/deploy pipeline","Add automated validation so schema errors are caught before pages go live.","Medium","High","Schema Validator API, Google Rich Results Test API","Not Started",""
"81","F. Content & Keyword Strategy","P1-Critical","Complete keyword research mapped to buyer intent","Group keywords by informational, navigational, commercial, and transactional intent.","High","High","Ahrefs, Semrush, Google Keyword Planner","Not Started",""
"82","F. Content & Keyword Strategy","P1-Critical","Build a content gap analysis vs top 3 competitors","Identify ranking keywords competitors have that you don't, and prioritize by opportunity.","High","Medium","Ahrefs Content Gap, Semrush","Not Started",""
"83","F. Content & Keyword Strategy","P2-High","Create a topic cluster / pillar page structure","Organize content into pillar pages with supporting cluster content linked internally.","High","Medium","Content Mapping Spreadsheet","Not Started",""
"84","F. Content & Keyword Strategy","P2-High","Optimize existing top-performing pages further","Identify pages ranking positions 4-10 and improve content depth to push to top 3.","High","Medium","Google Search Console Query Data","Not Started",""
"85","F. Content & Keyword Strategy","P2-High","Build a content calendar aligned to seasonality/search demand","Plan publishing around search volume trends and business seasonality.","Medium","Medium","Google Trends, Editorial Calendar","Not Started",""
"86","F. Content & Keyword Strategy","P3-Medium","Audit content for search intent match","Confirm content format (list, guide, comparison) matches what's actually ranking in the SERP.","High","Medium","Manual SERP Analysis","Not Started",""
"87","F. Content & Keyword Strategy","P3-Medium","Add internal FAQ sections targeting long-tail queries","Answer 'People Also Ask' style questions directly within existing content.","Medium","Low","AlsoAsked, Answer the Public","Not Started",""
"88","F. Content & Keyword Strategy","P3-Medium","Repurpose top content into other formats","Turn top blog posts into video, infographic, or social content for extended reach.","Low","Medium","Content Repurposing Workflow","Not Started",""
"89","F. Content & Keyword Strategy","P4-Low","Build a glossary/resource hub for niche terms","Capture long-tail definitional searches and support topical authority.","Low","Medium","Content Planning Sheet","Not Started",""
"90","F. Content & Keyword Strategy","P4-Low","Audit and update internal linking to new content","Add links from older relevant posts to newly published pages within 48 hours.","Medium","Low","Manual/Internal Linking Tool","Not Started",""
"91","G. Off-Page & Authority","P1-Critical","Audit backlink profile for toxic links","Review referring domains for spammy/toxic links and disavow where necessary.","Medium","Medium","Ahrefs, Google Disavow Tool","Not Started",""
"92","G. Off-Page & Authority","P2-High","Build a target link prospect list","Identify realistic, relevant sites (competitors' backlinks, industry directories, press) to pursue.","High","High","Ahrefs, Hunter.io","Not Started",""
"93","G. Off-Page & Authority","P2-High","Reclaim unlinked brand mentions","Find mentions of your brand online without a link and request one be added.","Medium","Medium","Google Alerts, Ahrefs Mentions","Not Started",""
"94","G. Off-Page & Authority","P2-High","Fix broken backlinks pointing to your site","Find backlinks pointing to 404 pages and 301 redirect them to a relevant live page.","Medium","Medium","Ahrefs Broken Backlinks","Not Started",""
"95","G. Off-Page & Authority","P3-Medium","Pursue digital PR / newsworthy content angles","Create data studies or original research that naturally attract journalist links.","High","High","HARO/Connectively, Original Research","Not Started",""
"96","G. Off-Page & Authority","P3-Medium","Claim and optimize industry directory listings","Ensure consistent NAP across relevant, reputable industry directories.","Low","Low","Directory Listings, Moz Local","Not Started",""
"97","G. Off-Page & Authority","P3-Medium","Build relationships for guest posting opportunities","Identify relevant sites accepting guest content and pitch value-adding topics.","Medium","High","Outreach CRM, Ahrefs","Not Started",""
"98","G. Off-Page & Authority","P4-Low","Monitor competitor new backlink acquisitions","Set up alerts for competitor backlink gains to spot fresh opportunities quickly.","Medium","Medium","Ahrefs Alerts","Not Started",""
"99","G. Off-Page & Authority","P4-Low","Audit social profile links (sameAs signals)","Ensure all social profiles are linked consistently and match Organization schema.","Low","Low","Manual Audit","Not Started",""
"100","G. Off-Page & Authority","P4-Low","Evaluate co-marketing / partnership link opportunities","Identify non-competing partners for reciprocal content or resource page mentions.","Low","Medium","Partnership Outreach List","Not Started",""
"101","H. Local SEO","P1-Critical","Fully optimize Google Business Profile","Complete every field: categories, hours, services, photos, and Q&A; keep NAP consistent with site.","High","Low","Google Business Profile","Not Started",""
"102","H. Local SEO","P2-High","Build/audit local citations for NAP consistency","Ensure Name, Address, Phone match exactly across top directories (Yelp, BBB, industry sites).","Medium","Medium","Moz Local, BrightLocal","Not Started",""
"103","H. Local SEO","P2-High","Generate and respond to Google reviews","Set up a review request process and respond to all reviews (positive and negative) promptly.","High","Medium","Review Request Tool, GBP","Not Started",""
"104","H. Local SEO","P3-Medium","Create localized landing pages for multi-location businesses","Build unique, non-templated pages per location with local content and schema.","High","High","LocalBusiness Schema per page","Not Started",""
"105","H. Local SEO","P4-Low","Build local content (community/local news tie-ins)","Publish content relevant to the local area to reinforce geographic relevance.","Low","Medium","Local Content Calendar","Not Started",""
"106","I. Conversion Tracking & Analytics","P1-Critical","Install GA4 with correct data stream setup","Verify data stream configuration, enhanced measurement, and correct time zone/currency.","High","Low","Google Analytics 4","Not Started",""
"107","I. Conversion Tracking & Analytics","P1-Critical","Set up Google Tag Manager as the single tag management system","Migrate all tracking pixels/scripts into GTM instead of hardcoding into the site.","High","Medium","Google Tag Manager","Not Started",""
"108","I. Conversion Tracking & Analytics","P1-Critical","Define and configure key conversion events in GA4","Mark form submits, purchases, calls, and signups as Key Events (formerly Conversions).","High","Medium","GA4 Events, GTM","Not Started",""
"109","I. Conversion Tracking & Analytics","P1-Critical","Set up e-commerce tracking (if applicable)","Implement GA4 enhanced e-commerce for product views, add-to-cart, and purchase events.","High","High","GA4 Ecommerce, GTM dataLayer","Not Started",""
"110","I. Conversion Tracking & Analytics","P2-High","Set up goal funnels for key user journeys","Visualize drop-off points across the checkout or lead-gen funnel steps.","High","Medium","GA4 Exploration Reports","Not Started",""
"111","I. Conversion Tracking & Analytics","P2-High","Implement call tracking for phone conversions","Use dynamic number insertion to attribute phone calls back to the marketing channel.","Medium","Medium","CallRail, GTM","Not Started",""
"112","I. Conversion Tracking & Analytics","P2-High","Set up form submission tracking","Track every lead form as a distinct conversion event with form name/location.","High","Low","GTM Form Trigger, GA4","Not Started",""
"113","I. Conversion Tracking & Analytics","P2-High","Link GA4 to Google Search Console","Connect properties to see organic query and landing page data in one place.","Medium","Low","GA4-GSC Integration","Not Started",""
"114","I. Conversion Tracking & Analytics","P2-High","Link GA4 to Google Ads (if running paid)","Import GA4 conversions into Google Ads for accurate bidding and attribution.","High","Low","GA4-Google Ads Linking","Not Started",""
"115","I. Conversion Tracking & Analytics","P3-Medium","Set up UTM tagging convention for campaigns","Standardize UTM source/medium/campaign naming so channel data stays clean.","Medium","Low","UTM Builder, Naming Convention Doc","Not Started",""
"116","I. Conversion Tracking & Analytics","P3-Medium","Build an SEO performance dashboard","Combine GSC, GA4, and rank tracking data into one reporting view for stakeholders.","High","Medium","Looker Studio","Not Started",""
"117","I. Conversion Tracking & Analytics","P3-Medium","Set up scroll depth and engagement tracking","Track scroll depth and time-on-page for content engagement insights beyond pageviews.","Low","Low","GTM Scroll Trigger, GA4","Not Started",""
"118","I. Conversion Tracking & Analytics","P3-Medium","Audit for duplicate/double tracking tags","Check that tracking pixels aren't firing twice, inflating conversion numbers.","Medium","Low","GTM Preview Mode, Tag Assistant","Not Started",""
"119","I. Conversion Tracking & Analytics","P4-Low","Set up conversion value tracking for lead quality","Assign estimated dollar values to different lead types for better ROI reporting.","Medium","Medium","CRM Integration, GA4","Not Started",""
"120","I. Conversion Tracking & Analytics","P4-Low","Set up automated anomaly alerts","Configure alerts for sudden traffic or conversion drops to catch issues early.","Medium","Low","GA4 Custom Insights, Looker Studio Alerts","Not Started",""
